J,J_index,j_max,label,max_null_power,mu,mu_index,n_mu,num_null_constraints,rho,rho_cutoff,rho_max,rho_over_max,setting_label
22.0,11,1000,c20_min,8,14.090947768744847,51,300,36,1.0421202901860607e-08,1.0000504915154555e-08,1.0000504915154556,1.0420676746099623e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
22.0,11,1000,c20_min,8,13.57221926336711,52,300,36,1.1898446775364121e-08,1.0000504915154555e-08,1.0000504915154556,1.1897846035087153e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
20.0,10,1000,c20_min,8,12.61915494661479,54,300,36,1.0694489783464182e-08,1.0000504915154555e-08,1.0000504915154556,1.0693949829731073e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
16.0,8,1000,c20_min,8,12.180814052728829,55,300,36,1.2784474214395993e-08,1.0000504915154555e-08,1.0000504915154556,1.278382873950961e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
16.0,8,1000,c20_min,8,11.765556123406046,56,300,36,1.904838930520701e-08,1.0000504915154555e-08,1.0000504915154556,1.9047427571723382e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
16.0,8,1000,c20_min,8,11.371789718604782,57,300,36,0.0025213188501476977,1.0000504915154555e-08,1.0000504915154556,0.0025211915513655156,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
16.0,8,1000,c20_min,8,10.99805824703849,58,300,36,0.001028667669205006,1.0000504915154555e-08,1.0000504915154556,0.0010286157328378335,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
14.0,7,1000,c20_min,8,10.643026483625475,59,300,36,3.758764249142862e-08,1.0000504915154555e-08,1.0000504915154556,3.758574473021767e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
16.0,8,1000,c20_min,8,10.643026483625475,59,300,36,1.162577735947631e-08,1.0000504915154555e-08,1.0000504915154556,1.1625190385996262e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
14.0,7,1000,c20_min,8,10.305468633822633,60,300,36,1.057027291294754e-06,1.0000504915154555e-08,1.0000504915154556,1.0569739230795806e-06,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
14.0,7,1000,c20_min,8,9.98425774528662,61,300,36,0.000595863495304014,1.0000504915154555e-08,1.0000504915154556,0.0005958334107721451,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
14.0,7,1000,c20_min,8,9.678356295807921,62,300,36,3.110036330744483e-07,1.0000504915154555e-08,1.0000504915154556,3.1098793082253264e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
